id,youtube_url,video_title,channel,thumbnail_url,confidence
st_04204,https://www.youtube.com/watch?v=dCpxbo3I__k,(과거 회상) 헬기 타고 강림한 여신 클라쓰! 김수현x김지원의 애틋 러브스토리♡ #눈물의여왕 EP.1 | tvN 240309 방송,tvN DRAMA,https://i.ytimg.com/vi/dCpxbo3I__k/hqdefault.jpg,high
st_04205,https://www.youtube.com/watch?v=dCpxbo3I__k,(과거 회상) 헬기 타고 강림한 여신 클라쓰! 김수현x김지원의 애틋 러브스토리♡ #눈물의여왕 EP.1 | tvN 240309 방송,tvN DRAMA,https://i.ytimg.com/vi/dCpxbo3I__k/hqdefault.jpg,high
st_04209,https://www.youtube.com/watch?v=HcVEPaGWvuI,"백현우 면회 온 홍해인, 온통 해인 걱정 뿐인 현우에 자꾸만 요동치는 가슴 #눈물의여왕 EP.15 | tvN 240427 방송",tvN DRAMA,https://i.ytimg.com/vi/HcVEPaGWvuI/hqdefault.jpg,mid
st_04227,https://www.youtube.com/watch?v=SENC8_l-Toc,"고백 거절했던 홍해인, 몰래 반지 껴보다 백현우한테 들키다... (ft. 이불킥) #눈물의여왕 EP.12 | tvN 240414 방송",tvN DRAMA,https://i.ytimg.com/vi/SENC8_l-Toc/hqdefault.jpg,mid
st_04229,https://www.youtube.com/watch?v=6a23Ai8DmHo,재벌 며느리 김지원 덕에 김수현 고향 '용두리' 핫플 등극★ #눈물의여왕 EP.6 | tvN 240324 방송,tvN DRAMA,https://i.ytimg.com/vi/6a23Ai8DmHo/hqdefault.jpg,mid
st_04231,https://www.youtube.com/watch?v=nPSJxi7EWQA,"만능사기캐 김수현, 사기꾼 일당에 두뇌형🧠 복싱으로 단숨 제압🥊 #눈물의여왕 EP.10 | tvN 240407 방송",tvN DRAMA,https://i.ytimg.com/vi/nPSJxi7EWQA/hqdefault.jpg,high
st_04234,https://www.youtube.com/watch?v=zGLcsp6RVAE,화제의 자전거 씬 촬영 비하인드ㅋㅋㅋ #눈물의여왕,tvN D ENT,https://i.ytimg.com/vi/zGLcsp6RVAE/hqdefault.jpg,mid
st_04238,https://www.youtube.com/watch?v=xE2B4LPgkCU,/갓벽 등장/ 김지원 위해 달려온 김수현, 완벽 비주얼로 외조! #눈물의여왕 EP.2 | tvN 240310 방송,tvN DRAMA,https://i.ytimg.com/vi/xE2B4LPgkCU/hqdefault.jpg
st_04239,https://www.youtube.com/watch?v=03Kx1N95QEY,※ 스페셜 단독 공개 ※ 백홍부부 독일 신혼여행 미공개 키스신 모음 #눈물의여왕:기적같은기록zip | tvN 240505 방송,tvN DRAMA,https://i.ytimg.com/vi/03Kx1N95QEY/hqdefault.jpg,mid
st_04246,https://www.youtube.com/watch?v=bPExA91Jp6Y,특별한 사연(?)으로 솔드 아웃 직전 음식 사수한 김지원 (ft. 찾았다 자물쇠) #눈물의여왕 EP.6 | tvN 240324 방송,tvN DRAMA,https://i.ytimg.com/vi/bPExA91Jp6Y/hqdefault.jpg,mid
st_04247,https://www.youtube.com/watch?v=bPExA91Jp6Y,특별한 사연(?)으로 솔드 아웃 직전 음식 사수한 김지원 (ft. 찾았다 자물쇠) #눈물의여왕 EP.6 | tvN 240324 방송,tvN DRAMA,https://i.ytimg.com/vi/bPExA91Jp6Y/hqdefault.jpg,mid
st_04250,https://www.youtube.com/watch?v=Sbl66sodhhE,[#눈물의여왕 6화] 김수현한테 플러팅 날리는 독일 미녀에 김지원 질투 폭발 첫사랑까지 끌올하는 김지원에 해명하기 바쁜 김수현ㅋㅋㅋ,디글 :Diggle,https://i.ytimg.com/vi/Sbl66sodhhE/hqdefault.jpg,high
st_04258,https://www.youtube.com/watch?v=kRTiGlzjNDM,※달달 데이트※ 김지원, 속는 셈 치고 산 '행운의 네잎클로버' #눈물의여왕 EP.6 | tvN 240324 방송,tvN DRAMA,https://i.ytimg.com/vi/kRTiGlzjNDM/hqdefault.jpg
st_04264,https://www.youtube.com/watch?v=v_CmFxlONic,위급상황 수술실 들어간 백현우, 주저앉아 오열하는 홍해인ㅠㅠ #눈물의여왕 EP.16 | tvN 240428 방송,tvN DRAMA,https://i.ytimg.com/vi/v_CmFxlONic/hqdefault.jpg
st_04266,https://www.youtube.com/watch?v=MFbdzVLlqX8,[#눈물의여왕 14화] 차에 타고 있던 홍해인에게 갑작스레 일어난 뺑소니 사고 확인 되지 않는 홍해인 생사에 폭발 직전인 차로 뛰어든 백현우의 절규와 오열,tvN D ENT,https://i.ytimg.com/vi/MFbdzVLlqX8/hqdefault.jpg,mid
st_20354,https://www.youtube.com/watch?v=Gb9F6ZpVkxg,※갓벽 비주얼※ 김수현X김지원, 매일이 행복한(?) 세기의 결혼 #눈물의여왕 EP.1 | tvN 240309 방송,tvN DRAMA,https://i.ytimg.com/vi/Gb9F6ZpVkxg/hqdefault.jpg
st_20357,https://www.youtube.com/watch?v=zGLcsp6RVAE,화제의 자전거 씬 촬영 비하인드ㅋㅋㅋ #눈물의여왕,tvN D ENT,https://i.ytimg.com/vi/zGLcsp6RVAE/hqdefault.jpg,mid
st_20358,https://www.youtube.com/watch?v=aCDS36fw6Xc,[#눈물의여왕 12화] 마치 신혼으로 다시 돌아간 듯 애틋한 백홍부부 이혼 취소 프러포즈를 받은 홍해인의 대답과 숨겨왔던 진심은?,디글 :Diggle,https://i.ytimg.com/vi/aCDS36fw6Xc/hqdefault.jpg,high
st_15316,https://www.youtube.com/watch?v=lyU56kiPlaA,자랑스러운 아들♡에게 아버지가 알려주는 인생의 술맛 이태원 클라쓰(Itaewon class) 1회,JTBC Drama,https://i.ytimg.com/vi/lyU56kiPlaA/hqdefault.jpg,mid
st_15320,https://www.youtube.com/watch?v=wdSfS-5xL7Y,박서준(Park seo-jun)-김다미(Kim da-mi)의 화끈한 첫 만남 ＂뭐 저런 게 다 있어♨＂이태원 클라쓰(Itaewon class) 3회,JTBC Drama,https://i.ytimg.com/vi/wdSfS-5xL7Y/hqdefault.jpg,mid
st_15325,https://www.youtube.com/watch?v=0gsg7LzEaFI,＂자고 갈래?＂ 권나라(Kwon Nara) 돌직구에 서준(Park seo-joon)이는 동공 지진◑_◑ #흥이다 이태원 클라쓰(Itaewon class) 2회,JTBC Drama,https://i.ytimg.com/vi/0gsg7LzEaFI/hqdefault.jpg,high
st_15327,https://www.youtube.com/watch?v=0gsg7LzEaFI,＂자고 갈래?＂ 권나라(Kwon Nara) 돌직구에 서준(Park seo-joon)이는 동공 지진◑_◑ #흥이다 이태원 클라쓰(Itaewon class) 2회,JTBC Drama,https://i.ytimg.com/vi/0gsg7LzEaFI/hqdefault.jpg,high
st_15336,https://www.youtube.com/watch?v=QjElPoY6aR4,[달달 스페셜] 오늘도 행복한 '새로이서' 커플의 키스모음zip♥  #이태원 클라쓰 (Itaewon class),JTBC Drama,https://i.ytimg.com/vi/QjElPoY6aR4/hqdefault.jpg,mid
