title_key,title_표기,category,수집_글수,전체_성지수,언급된_성지수,필터통과_성지수,대표성지_TOP5
이재곧죽습니다,이재 곧 죽습니다 / 이재곧죽습니다,drama,43,65,37,8,울산대교(6) / 태화강국가정원(5) / 보령청보리밭(5) / 태화강국가정원 십리대숲(4) / 경주 오봉산 마당바위(3)
캐셔로,캐셔로,drama,43,56,29,15,수원대학교(학군단앞연못쪽)(8) / 순천드라마촬영장(7) / 경희초등학교(7) / 로우포레스트(폐업)(7) / 검암역로열파크씨티푸르지오(6)
파묘,파묘,movie,43,10,6,3,국립아시아문화전당(ACC)(12) / 담양 경상리 느티나무(당산나무)(6) / 아홉산숲(2) / 더 플라자 서울(1) / 대운산자연휴양림(1)
마스터,마스터,movie,42,8,1,3,청심평화월드센터(1) / 더케이트윈타워(0) / 봉은사(0) / 서대문형무소역사관(0) / 서울중부경찰서(0)
무브투헤븐,무브투헤븐,drama,42,11,0,3,동림아파트(0) / 두꺼비생태문화관 인근(산남동)(0) / 레드문516(0) / 새마을금고(0) / 성안길(0)
나쁜엄마,나쁜엄마,drama,41,66,7,3,한밤마을(16) / 한밤마을 돌담길(11) / 미래농원(4) / 미래농원 MRNW(2) / 구미여자상업고(2)
러브미,러브미,drama,41,34,12,4,허니문하우스(3) / 금오름(2) / 서울여자대학교(2) / 애플돈까스(2) / 맘마농가식자재마트(1)
마우스,마우스,drama,41,11,0,3,고양시 장항동 촬영지(0) / 구 장흥교도소(0) / 대방동 아파트 단지(0) / 본이 할머니 집(0) / 서울방배경찰서(0)
수상한그녀,수상한 그녀,movie,41,8,3,3,청운반점(5) / 금성당(2) / 고운당(1) / 구립노원실버카페(0) / 대명비발디파크 오션월드(0)
스프링피버,스프링 피버 / 스프링피버,drama,41,102,41,9,죽도시장(1)(22) / 죽도시장(2)(22) / 죽도시장(3)(22) / 청하중학교(21) / 철길숲(14)
범죄도시4,범죄도시4,movie,40,4,4,3,팬시 앤 게임(10) / 한향림도자미술관(5) / 애스턴마틴 서울(2) / 한채당(1)
스위트홈2,스위트홈 2 / 스위트홈2,drama,40,10,1,3,"더현대서울(1) / 강변북로(0) / 동부산관광단지 센트럴원(0) / 반포대교,잠수교(0) / 부천아트벙커 B39(0)"
약한영웅Class2,약한영웅 Class 2,drama,40,9,8,3,강동경희대병원(3) / 농구장(도봉동)(2) / CU 공군호텔점(1) / 쓰리팝 PC방 대방점(1) / 대신고 앞 철길 횡단 육교(1)
에스콰이어변호사를꿈꾸는변호사들,에스콰이어: 변호사를 꿈꾸는 변호사들,drama,40,13,10,7,오렌지플래닛(8) / 아나키아(6) / 달빛애견글램핑(5) / 독투독(우쭈쭈케어센터 합정점)(3) / 구스커피앤바(2)
최종병기활,최종병기 활,movie,40,3,1,3,공기마을 편백나무숲(7) / 운일암반일암(0) / 황매산(0)
아이돌아이,아이돌아이,drama,39,76,3,3,광한루원(1) / 조이마당스튜디오(1) / 타임스퀘어(1) / LG사이언스파크 정류장(16108)(0) / YTN본사(0)
태극기휘날리며,태극기 휘날리며,movie,39,9,6,4,공세리성당(13) / 합천 영상 테마파크(11) / 합천 황매산(9) / 외암민속마을(3) / 대관령 삼양목장(1)
당신이잠든사이에,당신이 잠든 사이에 / 당신이잠든사이에,drama,38,44,3,3,자도르 본점(2) / 삼척해수욕장(1) / 안성팜랜드(1) / SBS(0) / WE ARE YOUNG 벽화(0)
변호인,변호인,movie,38,7,2,3,흰여울문화마을(32) / 대전 근현대사 전시관(1) / 군산 내항 철도(0) / 군산 둔율동 성당(0) / 보수동 책방 골목(0)
슬기로운의사생활,슬기로운 의사생활 / 슬기로운의사생활,drama,38,16,2,3,이대서울병원(18) / 수노래방(4) / 경인미술관(0) / 고바우(칼국수집)(0) / 군부대(오음리)(0)
역도요정김복주,역도요정 김복주 / 역도요정김복주,drama,38,32,6,3,인하대학교(7) / 삼육대학교(2) / 이월드(1) / 용인대학교(1) / 작은마을(1)
모범택시1,모범택시1,drama,37,12,2,3,문화교통(6) / 코끼리문방구(1) / SBS프리즘타워(0) / 개화동집(0) / 덕수궁 돌담길(0)
서울의봄,서울의 봄,movie,37,8,6,4,청남대(5) / 조선대학교 본관(3) / 한남대학교 사범대학(2) / 한남대학교 탈메이지기념관(2) / 남산교(1)
엑시트,엑시트,movie,37,1,0,1,중랑스포츠클라이밍경기장(0)
월간남친,월간남친,drama,37,106,87,15,보롬왓(11) / 이노시뮬레이션(8) / 그랜드 하얏트 제주(7) / 별마로천문대(7) / 삼육대학교(7)
뉴토피아,뉴토피아,drama,36,34,6,5,강남대로(10) / 서강대교(7) / 다소유(5) / 서초중앙로31길(3) / 고속터미널역(2)
스터디그룹,스터디그룹,drama,36,28,25,15,인천대중예술고등학교(10) / 성남외국어고등학교(5) / 교보문고 일산점(4) / 아이스걸크림보이 일산점(3) / 단국대학교 죽전캠퍼스(3)
