id,place_name,search_key,naver_url,naver_lat,naver_lng,confidence,matched_name
st_11605,신월동쓰리팝PC방,3POPPC방,,,,failed,
st_11609,삼진기업주변,삼진기업,https://map.naver.com/p/entry/place/13101568,37.5095921,126.8814653,coord,삼진기업
st_11612,어울마당로,어울마당로,https://map.naver.com/p/entry/place/18791648,37.5468416,126.9194538,mid,어울마당로
st_11614,영등포경찰서앞,서울영등포경찰서,https://map.naver.com/p/entry/place/11642496,37.5258475,126.9009425,coord,서울영등포경찰서
st_11615,이앤비하이코,(주)이앤비하이코-HYCO Heavyparts,,,,failed,
st_11616,영등포로,영등포로,,,,failed,
st_11618,영등포로67가길,영등포로67가길,https://map.naver.com/p/entry/place/19011835,37.5148452,126.9200041,mid,영등포로67가길
st_11619,영등포로79가길,영등포로79가길,https://map.naver.com/p/entry/place/19011600,37.5141845,126.9207311,mid,영등포로79가길
st_11622,노량진로26길,노량진로26길,https://map.naver.com/p/entry/place/19028541,37.5118188,126.9542754,mid,노량진로26길
st_11623,문배동이안아파트앞 정류장,문배동이안아파트앞,,,,failed,
st_11625,효창원로69길,효창원로69길,https://map.naver.com/p/entry/place/19469701,37.5423561,126.9604793,mid,효창원로69길
st_11627,중랑천 농구장,중랑천로 농구장,,,,failed,
st_11628,중대로 횡단보도,중대로,,,,failed,
st_11629,송파사회복지관.성요셉성당 정류장,송파사회복지관.성요셉성당,,,,failed,
st_11630,거마로7길,거마로7길,https://map.naver.com/p/entry/place/18886992,37.4971792,127.1421313,mid,거마로7길
st_11632,인천공항,인천국제공항,https://map.naver.com/p/entry/place/1609342642,37.4411124,126.461462,mid,인천국제공항
st_11635,성사교회,성사교회,,,,failed,
st_11639,대전시민천문대 주차장,대전시민천문대,https://map.naver.com/p/entry/place/12121415,36.3816063,127.353708,high,대전시민천문대
st_11642,오랑1길 육교,육교,,,,failed,
st_11643,육교앞,육교,,,,failed,
st_11846,정우빌딩앞,정우빌딩,https://map.naver.com/p/entry/place/18999952,37.5290475,126.9218903,coord,정우빌딩
st_11847,한국수출입은행본점 옆,한국수출입은행 본점,https://map.naver.com/p/entry/place/11583121,37.5288566,126.9234887,coord,한국수출입은행 본점
st_11849,여의공원로,여의공원로,https://map.naver.com/p/entry/place/18999287,37.5265648,126.92141,mid,여의공원로
st_11850,대오빌딩앞,대오빌딩,https://map.naver.com/p/entry/place/19000358,37.522673,126.9249809,coord,대오빌딩
st_11859,덕원,덕원식당,,,,failed,
st_17547,덕원,덕원식당,,,,failed,
st_18789,덕원,덕원식당,,,,failed,
st_11868,남대문시장2길,남대문시장2길,https://map.naver.com/p/entry/place/1297614570,37.559484,126.9765355,mid,남대문시장2길
st_11874,경성의복,경성의복 kyungsungclothes 京城衣服,,,,failed,
st_11875,종로,종로구,,,,failed,
st_11876,종로24길,종로24길,https://map.naver.com/p/entry/place/19689232,37.5703121,126.9941837,mid,종로24길
st_11879,자하문로2길,자하문로2길,https://map.naver.com/p/entry/place/18662309,37.5765293,126.973331,mid,자하문로2길
st_11880,윤보선길,윤보선길,https://map.naver.com/p/entry/place/18670833,37.5779185,126.9836392,mid,윤보선길
st_11884,성덕정17길,성덕정17길,https://map.naver.com/p/entry/place/18793342,37.5376958,127.0552875,mid,성덕정17길
st_11894,장천리보도육교,연안부두 진입 보도육교,,,,failed,
st_11908,협동산업공단,(주)협동산업,,,,failed,
st_11984,세종대로12길,세종대로12길,https://map.naver.com/p/entry/place/19683545,37.5618608,126.9778736,mid,세종대로12길
st_11985,서대문역 주변,서대문,,,,failed,
st_11988,삼일대로,삼일대로,,,,failed,
st_11989,서순라길,서순라길,,,,failed,
st_12004,동교로29길,동교로29길,https://map.naver.com/p/entry/place/19688651,37.5625357,126.9226325,mid,동교로29길
st_12008,제일크리닝,제일크리닝,,,,failed,
