title,category,matched_title,year,director,poster_url,status
해피니스,drama,해피니스,2021,안길호,https://image.tmdb.org/t/p/w500/go3l8u9cyZXotJWqorI8jWW2Jn7.jpg,ok
환혼,drama,환혼,2022,박준화,https://image.tmdb.org/t/p/w500/pGs6UA4rPUZEokDyTwAGdRvwrAD.jpg,ok
친구,movie,누나 친구 4,2024,민정현,https://image.tmdb.org/t/p/w500/zzK8AKJywLRwooQNhJOV9iR7mjA.jpg,ok
실미도,movie,실미도,2003,강우석,https://image.tmdb.org/t/p/w500/xKGjBFfzoip0fTT7JNjF9bd6Dru.jpg,ok
태극기 휘날리며,movie,태극기 휘날리며,2004,강제규,https://image.tmdb.org/t/p/w500/rcBc6lI7Ouj1kb0bbbX0CkuJe9q.jpg,ok
왕의 남자,movie,왕의 남자,2005,이준익,https://image.tmdb.org/t/p/w500/9oucBWXrvBEelzUjPQheImlb8D1.jpg,ok
괴물,movie,괴물,2006,봉준호,https://image.tmdb.org/t/p/w500/tqDQzYGi1EWHgUZY91YRSJLDJVf.jpg,ok
국가대표,movie,국가대표,2009,김용화,https://image.tmdb.org/t/p/w500/xEmM8h9Zn1rz8HQwD0e42dYSsrW.jpg,ok
해운대,movie,해운대,2009,윤제균,https://image.tmdb.org/t/p/w500/AgWRG68qAT63wDybxNAebnbstts.jpg,ok
써니,movie,써니,2011,강형철,https://image.tmdb.org/t/p/w500/39fhpu9WfpvaEfE6UhuxaS93wOe.jpg,ok
최종병기 활,movie,최종병기 활,2011,김한민,https://image.tmdb.org/t/p/w500/gaXSEQ2XzkFnKxYIvkqj4Tidltk.jpg,ok
"광해, 왕이 된 남자",movie,"광해, 왕이 된 남자",2012,추창민,https://image.tmdb.org/t/p/w500/6Pg5AwsJUqeGanGOWcaljQXGe5g.jpg,ok
도둑들,movie,도둑들,2012,최동훈,https://image.tmdb.org/t/p/w500/ujIHEzt2EEboVzjQoWZBMYdAt1v.jpg,ok
