geonameid,official_rr,hangul,feature_class,feature_code,latitude,longitude,variant,variant_type,is_historic,same_name_diff_spelling
1832413,Yongjŏm-ch’ŏn,,H,STM,36.5,129,Yongjŏn-ch’ŏn,MR,,
1832417,Yeongjidong,영지동,P,PPL,33.34666,126.7823,Yŏkchi-dong,MR,,
1832417,Yeongjidong,영지동,P,PPL,33.34666,126.7823,Yŏngji-dong,MR,,
1832418,Yongji,용지,P,PPL,34.94256,127.75563,Ryūshi,other_variant,,
1832420,Yongjang-ni,,P,PPLL,36.80944,126.58417,Ryūshō-ri,other_variant,,
1832421,Yongjang-ni,,P,PPL,34.51667,126.33333,Ryūzō-ri,other_variant,,
1832421,Yongjang-ni,,P,PPL,34.51667,126.33333,Yongjong-ni,other_variant,,
1832423,Yongjamdong,용잠동,P,PPL,35.48975,129.37727,Ryukinri,other_variant,,
1832423,Yongjamdong,용잠동,P,PPL,35.48975,129.37727,Ryurei-ri,other_variant,,
1832423,Yongjamdong,용잠동,P,PPL,35.48975,129.37727,Ryūshin-dō,other_variant,,
1832423,Yongjamdong,용잠동,P,PPL,35.48975,129.37727,Ryūshin-ri,other_variant,,
1832423,Yongjamdong,용잠동,P,PPL,35.48975,129.37727,Yanjan,other_variant,,
1832423,Yongjamdong,용잠동,P,PPL,35.48975,129.37727,Yonggam-dong,other_variant,,
1832423,Yongjamdong,용잠동,P,PPL,35.48975,129.37727,Yonggŭm-dong,MR,,
1832423,Yongjamdong,용잠동,P,PPL,35.48975,129.37727,Yonggŭm-ni,MR,,
1832423,Yongjamdong,용잠동,P,PPL,35.48975,129.37727,Yongjam,other_variant,,
